,L1,T1,L2,T2,L3,T3,L4,T4
0,9.163265395270585,2458220.0,6.1381385079242525,2458220.0,5.670373061849525,2458220.0,7.186469830050957,2458220.0
1,15.83929811360266,2458222.0,9.96512351151138,2458222.0,7.961258827449159,2458222.0,7.514954939274311,2458222.0
2,16.871612929058507,2458224.0,10.828188876019118,2458224.0,9.708889096030326,2458224.0,8.777765650613322,2458224.0
3,18.94687824779419,2458226.0,14.18038540029766,2458226.0,9.902921969012281,2458226.0,8.905204303657246,2458226.0
4,20.612811669756944,2458228.0,13.668913265718047,2458228.0,10.507056209382533,2458228.0,9.558012227167577,2458228.0
5,21.80481389581998,2458230.0,15.144901376666667,2458230.0,10.052885441872593,2458230.0,9.050339180301275,2458230.0
6,21.169504621530457,2458232.0,16.373898433717567,2458232.0,11.224288690306766,2458232.0,10.828847197442819,2458232.0
7,23.040707579094637,2458234.0,16.87317384302278,2458234.0,10.41065471290609,2458234.0,10.572513050895687,2458234.0
8,24.550569769494196,2458236.0,19.303349540091755,2458236.0,9.833654673754264,2458236.0,10.78870887814595,2458236.0
9,24.8658893933365,2458238.0,18.39990224093456,2458238.0,12.646040571522636,2458238.0,12.65152868524024,2458238.0
10,26.536342554280598,2458240.0,21.006644200030802,2458240.0,11.172395759906706,2458240.0,12.17672241795592,2458240.0
11,25.211263125203658,2458242.0,19.839781966824997,2458242.0,12.692026697450851,2458242.0,11.94180349133055,2458242.0
12,25.704617560910368,2458244.0,20.52063763390439,2458244.0,13.074304734580604,2458244.0,15.290525129410996,2458244.0
13,23.31755822665066,2458246.0,19.529414854657063,2458246.0,12.358629951453265,2458246.0,14.935529423511579,2458246.0
14,23.64360088905561,2458248.0,20.490345331915538,2458248.0,14.252804313047676,2458248.0,14.179843176921297,2458248.0
15,22.966218573252675,2458250.0,20.960968666043044,2458250.0,14.292023808352445,2458250.0,16.913112326690715,2458250.0
16,21.986017267388355,2458252.0,20.159128031217094,2458252.0,14.408886117850663,2458252.0,14.638308045473645,2458252.0
17,20.64942873727369,2458254.0,19.673722320374175,2458254.0,14.594033114803882,2458254.0,15.878531038816902,2458254.0
18,19.670564134401147,2458256.0,18.74918855906752,2458256.0,14.681820422864405,2458256.0,15.288748365851117,2458256.0
19,19.4700325457794,2458258.0,18.2521111956158,2458258.0,13.595011453272045,2458258.0,16.906561641351175,2458258.0
20,19.576187897562512,2458260.0,18.31508217959345,2458260.0,14.035975670751856,2458260.0,17.596344611219298,2458260.0
21,18.466559224363227,2458262.0,17.81025788708531,2458262.0,15.121204919988795,2458262.0,15.680587474076756,2458262.0
22,18.194747760363846,2458264.0,18.080023147565328,2458264.0,14.596312093085384,2458264.0,17.520886312829433,2458264.0
23,17.165481809029107,2458266.0,18.27826883337505,2458266.0,14.752506151391714,2458266.0,19.07292553517704,2458266.0
24,16.83164538570614,2458268.0,17.22122677363679,2458268.0,14.756264347259913,2458268.0,18.66631250489552,2458268.0
25,15.993237866156713,2458270.0,16.237683880779933,2458270.0,14.607694392075523,2458270.0,17.084723741205764,2458270.0
26,16.258817545285353,2458272.0,16.069475470755837,2458272.0,14.264170649392081,2458272.0,16.368180208513785,2458272.0
27,15.634180105670273,2458274.0,16.64070337760957,2458274.0,16.18044421789207,2458274.0,18.30243849460006,2458274.0
28,15.065772918281974,2458276.0,15.542630708079262,2458276.0,15.22616694361764,2458276.0,16.522033178883927,2458276.0
29,14.285321390307827,2458278.0,15.053644057742947,2458278.0,15.345602156563986,2458278.0,17.117909782512665,2458278.0
30,13.757909985350286,2458280.0,14.248563347562973,2458280.0,15.00330417136086,2458280.0,16.14565976413985,2458280.0
31,12.938068119794458,2458282.0,14.421757816121467,2458282.0,14.944121131149496,2458282.0,14.892554504980254,2458282.0
32,11.661807831373089,2458284.0,12.852196059885822,2458284.0,15.176662444245935,2458284.0,14.69175529938064,2458284.0
33,10.226655492848856,2458286.0,11.201591725006177,2458286.0,14.761255040865612,2458286.0,12.739090771542774,2458286.0
34,10.478373062152519,2458288.0,11.54103434801085,2458288.0,14.845445204685367,2458288.0,13.294684864222809,2458288.0
35,9.764948389018919,2458290.0,10.098915276501575,2458290.0,14.40219794217497,2458290.0,12.272034378900514,2458290.0
36,9.323793123045334,2458292.0,9.791666928199001,2458292.0,14.516867854836823,2458292.0,11.457352398700227,2458292.0
37,9.03963203848369,2458294.0,8.987459357969305,2458294.0,14.813853572703676,2458294.0,10.95060605752542,2458294.0
38,8.080226440755371,2458296.0,8.300862660739238,2458296.0,14.682607925580724,2458296.0,9.454606755709818,2458296.0
39,7.747239378395389,2458298.0,8.298304117610124,2458298.0,13.370643324695292,2458298.0,9.36529818445892,2458298.0
40,7.678016217874287,2458300.0,8.126064259330676,2458300.0,13.688456839852273,2458300.0,7.420584254895773,2458300.0
41,7.400962225215812,2458302.0,8.30921467484174,2458302.0,13.0630380829831,2458302.0,6.929392507762627,2458302.0
42,7.083482395920192,2458304.0,7.742661810251472,2458304.0,13.282009432305784,2458304.0,7.873926259494258,2458304.0
43,7.691233330600949,2458306.0,7.11937821689856,2458306.0,13.372392691234438,2458306.0,8.507181269249395,2458306.0
44,6.9040947981286065,2458308.0,7.263820914600364,2458308.0,11.64358253711658,2458308.0,7.08435705042854,2458308.0
45,6.289953258561266,2458310.0,6.518981715368969,2458310.0,11.479062563117004,2458310.0,7.084761160249812,2458310.0
46,6.386051276431571,2458312.0,6.557346050008061,2458312.0,12.026059572400754,2458312.0,7.028815110408737,2458312.0
