,L1,T1,L2,T2,L3,T3,L4,T4
0,11.457387866082476,2458220.0,18.33317361398449,2458220.0,1.4818981616654143,2458220.0,4.055012165105818,2458220.0
1,11.205160242909972,2458222.0,15.471315823446538,2458222.0,8.34678018549389,2458222.0,13.113838758326809,2458222.0
2,13.921269820532828,2458228.0,16.183860860299987,2458228.0,10.832103053674729,2458228.0,6.555110907180204,2458228.0
3,11.004384921112752,2458230.0,15.78980775381273,2458230.0,11.217607014053543,2458230.0,15.407129196508393,2458230.0
4,9.808699208606788,2458232.0,12.886860329234999,2458232.0,17.389223762279595,2458232.0,6.997410079897465,2458232.0
5,11.649245723552903,2458234.0,9.301121643597961,2458234.0,14.19919856538024,2458234.0,8.864504526576914,2458234.0
6,9.836264223501967,2458236.0,11.576257831068386,2458236.0,21.810962603299018,2458236.0,10.474054558112627,2458236.0
7,12.532935230911598,2458238.0,12.903724265032249,2458238.0,17.12694948498291,2458238.0,11.190063140913507,2458238.0
8,13.3116698492218,2458240.0,12.56265931958451,2458240.0,20.52985636664742,2458240.0,12.41926668609886,2458240.0
9,10.222540473823933,2458242.0,8.446794553937046,2458242.0,13.556881689734738,2458242.0,10.24132842839188,2458242.0
10,11.74243833556375,2458246.0,10.672761104665808,2458246.0,19.28267374730343,2458246.0,14.619592562616827,2458246.0
11,8.74065112742097,2458248.0,12.643274308088664,2458248.0,15.153346927573796,2458248.0,15.15807719459833,2458248.0
12,6.690431732712375,2458250.0,7.278701370253007,2458250.0,15.111003669505397,2458250.0,8.023291517814444,2458250.0
13,6.410213646588867,2458252.0,8.708210755088063,2458252.0,16.653630554312272,2458252.0,11.405161042605958,2458252.0
14,10.6365193955234,2458254.0,12.029046193230316,2458254.0,17.183445369827375,2458254.0,14.414898267461691,2458254.0
15,8.298926924102094,2458256.0,7.718294818932132,2458256.0,13.11009970978926,2458256.0,10.10657948376758,2458256.0
16,10.210159697577406,2458258.0,11.323709812217071,2458258.0,17.681540559904,2458258.0,11.392420230924872,2458258.0
17,8.9825765199398,2458260.0,11.00313721608124,2458260.0,18.58608640784166,2458260.0,9.386235476837546,2458260.0
18,9.959345226711411,2458264.0,12.582764790009694,2458264.0,19.731657571859376,2458264.0,10.047159358481888,2458264.0
19,7.905478523914517,2458266.0,8.568467826705746,2458266.0,20.368771699632095,2458266.0,8.484552159629036,2458266.0
20,7.449154888677778,2458268.0,7.652744379729353,2458268.0,15.33534696708679,2458268.0,6.2982200340700825,2458268.0
21,6.9781504103278955,2458270.0,6.097300194438159,2458270.0,16.265926517057476,2458270.0,6.683847473764111,2458270.0
22,7.793926405663505,2458272.0,6.654961433250169,2458272.0,13.216655854187792,2458272.0,7.1506499657014695,2458272.0
23,6.986341954143502,2458276.0,9.436830747684043,2458276.0,14.601001999613853,2458276.0,10.74914425260439,2458276.0
24,8.441296581177557,2458278.0,9.786559843977953,2458278.0,15.670440563265759,2458278.0,7.203202941019698,2458278.0
25,8.317472509221794,2458280.0,6.57610144702399,2458280.0,14.44845685428202,2458280.0,9.402329700154587,2458280.0
26,7.836594253237164,2458282.0,8.435826367792133,2458282.0,18.55119268347724,2458282.0,9.281230550023658,2458282.0
27,5.849859064851126,2458284.0,5.582281625312057,2458284.0,12.710152199929443,2458284.0,6.885404089082115,2458284.0
28,7.118494152141341,2458286.0,7.785351943468078,2458286.0,17.03540746685778,2458286.0,8.690011460455004,2458286.0
29,5.427158636437825,2458288.0,7.460770309882325,2458288.0,15.601490799500523,2458288.0,6.998868975422516,2458288.0
30,6.138896034607762,2458290.0,6.088680129602216,2458290.0,13.123658598597565,2458290.0,6.948363645626319,2458290.0
31,5.059859049522991,2458292.0,5.5423235713372545,2458292.0,11.645250927871162,2458292.0,8.324435322446895,2458292.0
32,8.765107460362758,2458296.0,8.621444774712291,2458296.0,14.286610998854147,2458296.0,6.373443353525311,2458296.0
33,5.820473020237449,2458298.0,6.872497487771414,2458298.0,12.564645672453032,2458298.0,7.766687385227484,2458298.0
34,6.03962015744064,2458302.0,5.793462459408365,2458302.0,12.047354823929803,2458302.0,7.122370565986135,2458302.0
35,6.4472736041804986,2458304.0,5.535060853548434,2458304.0,13.770141802240225,2458304.0,6.0610307293055685,2458304.0
36,6.171676616701582,2458306.0,5.970585560649493,2458306.0,14.210459660559513,2458306.0,6.071000973036628,2458306.0
37,6.292293404786416,2458308.0,5.785669544942958,2458308.0,10.4623144253902,2458308.0,5.6761542231123245,2458308.0
38,5.507011292088216,2458312.0,6.403766552305017,2458312.0,12.608917704663938,2458312.0,8.945028171624415,2458312.0
39,6.867190684185053,2458314.0,7.343445664591071,2458314.0,16.156010931837887,2458314.0,7.295592901810869,2458314.0
40,5.161056980594366,2458316.0,6.979696297320734,2458316.0,13.616598534706329,2458316.0,7.5845022998271565,2458316.0
41,8.291061402420448,2458318.0,9.956011626035526,2458318.0,16.423563043861463,2458318.0,7.591228960819235,2458318.0
42,9.619119148180218,2458322.0,9.38314015529748,2458322.0,18.01945291021019,2458322.0,12.311430628988765,2458322.0
43,10.312952475888823,2458324.0,10.821481304450847,2458324.0,21.37070898495707,2458324.0,11.74947112023927,2458324.0
44,9.244700062533159,2458326.0,8.06019709640971,2458326.0,21.02606689308346,2458326.0,8.442142842161186,2458326.0
45,10.536097143608714,2458328.0,8.785946555815325,2458328.0,22.697859280644423,2458328.0,14.864152920550902,2458328.0
46,11.079664464016199,2458330.0,9.693642390844678,2458330.0,22.529344220826967,2458330.0,13.81622720814649,2458330.0
