,pt0,t1G,t1R,t1I,t1Z,t2G,t2R,t2I,t2Z,tdG,tdR,tdI,tdZ,tpG,tpR,tpI,tpZ,lalphaG,lalphaR,lalphaI,lalphaZ,lbeta1G,lbeta1R,lbeta1I,lbeta1Z,lbeta2G,lbeta2R,lbeta2I,lbeta2Z,lbetadNG,lbetadNR,lbetadNI,lbetadNZ,lbetadCG,lbetadCR,lbetadCI,lbetadCZ,MpG,MpR,MpI,MpZ,YbG,YbR,YbI,YbZ,VG,VR,VI,VZ,M1G,M1R,M1I,M1Z,M2G,M2R,M2I,M2Z,MdG,MdR,MdI,MdZ,lp__
0,-45.465177402481785,0.7874982236543769,0.9259924001936749,0.8391466227943813,1.4768895554590584,72.42840856275758,78.55830285168746,53.56610786634499,80.02939851405924,32.592931469856325,31.88445237988029,33.55931956582214,5.489023589282303,14.278021751854403,11.532480145289053,37.556445993004765,19.86772032376236,-0.5074606234403575,-0.38952690881422225,-0.6107674738414459,-1.355903605654831,-5.016324601406326,-5.37654536681127,-5.670225568416543,-4.617540363699664,-5.42889734989079,-7.909121692858291,-5.521784297915866,-5.827971289883077,-3.949152624172266,-4.271579175977613,-4.283654663056937,-3.8429454795527893,-3.199268124610494,-3.751483323030776,-3.6420956572324266,-4.071418804940076,24.95189222728062,21.327090232082792,32.56334455352509,24.92908699035583,-0.23572202563074154,-0.3692944801737141,-0.13688898680702613,-0.10798364255716916,0.45775197705012693,0.8894063449209817,0.8422255668546997,1.345327069887391,22.698591130886932,20.21964378008859,28.60915853302565,20.4872062216607,18.1584999055921,20.720376422011935,26.284833549879465,19.696190481669714,9.689468551735693,13.276818288253416,16.54586890062212,17.510371259555342,-144.02811424808522
1,-30.207839629037228,1.095209873059566,0.7068219806278974,1.101303474632508,1.4141445204466039,53.120344631422356,40.96726538700523,57.0593126876849,74.9033258139252,31.742570404616316,36.77003706958644,31.397853174303773,11.486100485576184,16.897858644959665,35.954054744028205,11.722000362270979,15.156147211065228,-1.8784010175273727,-0.5697117302034208,-0.632157365141844,-1.204888163670722,-1.6853049611173379,-4.305602268112766,-6.303018945948171,-4.680424806169702,-5.201489394279785,-6.706516707727137,-5.799263482055021,-5.090114492646395,-4.068123669293576,-4.3207842652809925,-4.45981076248631,-3.9140615524840356,-3.209923093985229,-3.4738586189197336,-3.736028268736379,-4.136453643202366,23.85873316203547,21.311123474772458,33.20723552632289,27.095400252951876,0.06646005524533997,-0.25753867848742307,0.01733973501165618,0.7689804820758904,0.5251703529870302,0.6141080488793469,0.7727842840663992,1.3348272061328716,1.040282184504857,13.119633481936953,32.50219123812155,23.542083579564835,17.80616324940942,20.269749878224687,27.935277491668888,17.08431205195205,10.344410895378969,12.43451152920094,19.429416371694742,13.584187479520311,-136.58483565284732
2,-43.22472805190931,1.2632466524611778,0.5414167955851775,0.9299517027901175,1.1188641091125957,58.08629342666368,45.358718678688895,74.19078567513131,73.22481246364555,31.6815288242505,29.749684722374365,21.562927024720757,8.669283567744094,22.996495684924366,46.28176706187802,15.281797279906373,22.69740100997349,-1.1783453665588564,-1.3170944354976664,-1.5003322203903737,-1.0325934331863729,-3.137372568387105,-4.37737440702851,-3.9184927822022724,-4.628278115369207,-5.3808641608282315,-6.060009527417479,-5.5835208911508225,-6.123541531009962,-4.023970035017946,-4.3262762735211595,-4.333861089347043,-3.9356271340415914,-3.3032117403705854,-3.587477944773811,-3.740362625212513,-4.229213502344298,24.35405588559046,21.688902278064703,34.1324586580557,23.81159195205218,-0.4839048906645634,-0.2675568260740485,0.46028967401934234,-0.1932274965297131,0.46845447147873603,0.6785593646306082,0.8726564172856511,1.1846632271716178,8.977550451413581,12.128777552029835,25.193445619356496,19.075089571603336,18.639412657597575,19.509788025110232,25.824997714496764,20.282533683727223,10.57776876581876,13.167142043584349,19.462824879761065,17.122940751213587,-146.87079461395933
3,-34.63321838414166,0.7546890833892063,0.6427794696043347,1.0601009217516144,1.0721450484017618,57.999208928517284,40.406384011876,52.74805567122248,79.47747108709791,31.17166733623251,40.01076732711028,35.955193665334306,13.343011580589437,18.636260258902897,38.29414121174913,19.434382741179085,14.235465674722121,-0.9714722939772293,-1.4340781333072838,-0.6440899794326774,-0.9931449165108801,-0.2219367450477659,-3.977991836643264,-2.1895945481749206,-6.617591821025158,-5.31667735142714,-6.8663684155398315,-5.576676106305645,-5.412094063680999,-3.9513620487775345,-4.333791496579711,-4.459570735301382,-3.872699931401441,-3.1896099393291477,-3.4471431845062046,-3.63296685672484,-4.213472342406746,23.426837415780476,20.959397361292677,33.719038071189836,26.53398340426612,-0.024662482913580634,0.3357140429427299,0.2962119213737071,-0.39109531317694346,0.46865484779107847,0.6023639105442115,1.0338379183254265,1.4629843415498576,7.708945968990084e-06,10.232799614920205,3.8272542042176156,26.033873745262724,17.622243902713453,20.095046497997885,27.616255573294684,18.611414751408635,9.67724981134117,11.889116560542158,18.21962050130751,14.100525099336002,-145.76426405573102
4,-80.07494959432118,0.6323545569018709,0.7552974130237072,1.585404316671754,1.268360077773304,92.03792794166628,104.2599950433409,99.07627013929562,107.33809924035667,33.602743093802054,38.279747991089785,28.415826283724794,6.166185829627858,21.446818002757226,16.8129938572872,19.065384736158475,20.199397201379348,-0.9370042137764723,-0.5291132763362262,-1.2557045185376303,-1.9090033025070394,-3.747565044583983,-3.3093073791374414,-3.238201744655675,-2.908891346590392,-5.59223963356186,-7.43547834353596,-5.469967297196779,-6.422441016092736,-4.117042144148642,-4.312161246060573,-4.491554953834937,-4.081289556531319,-3.2103573997607047,-3.4141476383231795,-3.6869894350522228,-4.173984065189994,26.32749981962957,21.416688836605662,40.40050837866454,24.46702316304149,-0.10325874980731009,0.05229690004331623,0.11453680711216639,0.04436797931892467,0.5000831351710756,0.7965118496749384,0.9721558831288211,1.2983172417550999,15.879096471850842,11.586016375025409,19.121698184809162,8.131364128584337,18.683089918881148,20.1390885185465,26.618209485318687,20.5515335478912,10.806433170659899,12.05572823995409,19.360735767353333,18.519335413185125,-134.5894691888161
5,-53.42558989531134,0.8248033881413533,0.804367348787879,0.6755617032421787,1.3247799280430113,64.24838194521193,71.14503015664127,77.31959302672497,97.4541094970008,37.34360112596306,40.40553328553102,21.28348922402227,7.032833357007474,30.256658983743247,24.193044436998274,20.211789134233243,17.16498712859707,-0.570366179948551,-1.0571808872679471,-1.0591336233131503,-1.0042727671772476,-5.211208871738139,-4.406700475494269,-3.4324749143816327,-3.238168723270987,-5.172580047468065,-7.936275400433576,-5.4115949915336925,-5.001623501955551,-3.844988620544022,-4.411136660626764,-4.388197422434281,-3.5625916536938034,-3.0413853684049283,-3.3972808180665868,-3.818849952493002,-4.245033837434336,25.158427544395884,20.703287970248873,37.51332191288417,33.619321616412826,0.19213214637676912,0.03761547682240877,-0.4751477228988985,0.07466008549557775,0.459174949534991,0.6715928999287352,1.134354268601323,1.2725397853791465,21.330555625682578,15.413594212413576,19.52539984676362,17.14353260561695,17.477418295763627,20.183302227422757,26.562534381079846,17.45324371463507,7.86368500674669,12.357672384469353,20.39102329669572,14.29682774212674,-135.9426242455396
6,-41.56893535043077,0.9464997494932953,0.7681232642778808,1.3128015127173671,1.0363762048019567,65.77565613668973,68.62299401710494,60.40375514911176,87.76248474344361,36.189011799889485,38.30409263494813,30.531923287214294,4.558007987471219,15.248497090739423,18.774539759502318,25.796878899079253,30.126661960394344,-1.0443208428488078,-0.8602848180334398,-1.477304950742381,-1.74879708990349,-5.695571322803556,-4.108082252924414,-0.2148488082494648,-6.699445281741798,-5.402331375901368,-8.101523822926323,-5.4645451869484205,-4.886348111744631,-3.9321249958605073,-4.2712215671976415,-4.2342464324979865,-3.3050264475730957,-3.1417883380287916,-3.6155547027157366,-3.798390985721129,-4.052930181332112,24.45466745041607,21.251164912941338,34.765883442489134,29.44976258770645,0.030585703475861717,-0.6429854258900312,-0.46905957388116837,-0.19411878320837392,0.43460299074457515,0.8226597505712409,1.0786982324349719,1.4254927789740042,23.233000296407234,15.607818464376138,3.189676363545964e-08,28.377086475106136,18.18199504898601,20.8137466603939,26.92003900429363,15.182935148052511,8.944651425574216,12.191121866333024,17.29541131516786,12.844314124335673,-140.83628483989114
7,-59.1069417297868,1.852781983247658,1.1649071708984409,0.6669195936400938,1.1296199692936324,78.61355408279991,82.63549282903112,78.61158207394652,87.8937761952238,35.49224457219682,35.882210029209446,31.868973176329753,12.279438246115504,20.9861631632136,19.585717764232466,17.863255867516173,20.734122907648867,-1.7238501961987733,-0.6357922570582185,-0.3655989336814408,-0.06592099180257502,-5.78621239278077,-2.563877977361477,-0.11590077837511163,-6.198986064153311,-5.242323673286792,-7.5743631172222035,-6.066976379745616,-5.149373077632545,-3.8568107001414655,-4.309002510438286,-4.41743316515144,-4.490776932508678,-2.9143051780315483,-3.5979630231130573,-3.7371681913717563,-4.218852129041883,26.086127297060752,21.693683600473427,33.69256547981392,32.576017929355125,0.25993236272697745,-0.6384808813906003,0.023407677400232616,-0.5592820199664286,0.4842199673944708,0.7935366931178046,1.0331413255206225,1.2052271593454815,24.458671292659,4.800943524580628,4.155457909519126e-06,31.232375109092434,17.213581770601497,20.792496308928026,28.07956377173779,19.56075235581874,8.129988511844159,12.83384297309119,19.116230229863184,17.044864087291053,-147.61926776786612
8,-57.34167083890062,1.062065960832652,1.4467957953766954,0.9379462095978782,0.5862663812394368,69.2969463825755,84.44886834361459,79.46858330749488,106.55703031079453,39.338773549052796,39.38154452711787,33.524922097208695,3.0920589609532954,25.937498579956735,13.606872047643192,15.677162856093743,17.342170323523916,-0.9078886105811234,-0.6984643444494871,-0.5327049490072417,-2.2475960629210947,-4.456586555442188,-5.28414178356875,-0.18113789747807535,-4.185030569931213,-5.41054405801215,-7.9932519905478525,-5.70588282099161,-4.7694153593613215,-3.9256926111044823,-4.400913976445752,-4.444178978515376,-3.327580800562364,-3.118317720796395,-3.4843814538814315,-3.655592626250412,-4.068693881652883,24.846182942601054,20.831533862523568,35.39550328174309,38.468365176990076,-0.055370909132274694,-0.07201100125605747,0.30613413440023446,0.43248625265948626,0.4953539239214258,0.7547214515636409,1.0137091800691749,1.6032800442706945,18.38950126730327,19.44251639257391,7.387098497299429e-05,29.543335977421787,18.228780054960666,20.245785261808038,27.173583224304465,15.574946544255251,8.388887659598007,12.489493050521913,18.32812083953803,13.939425242942528,-140.58660779255118
9,-32.7969657911754,1.0035020477976357,0.9511670099749782,0.9287954151783021,1.4500589161920288,48.64378634478415,47.23668537743869,54.173285913248606,85.07142657905267,37.888119548743326,33.1192508527814,32.52628935631378,5.524929449076765,26.435948572880847,34.02829918436994,17.591482982124738,8.337745960487508,-0.5982867777752916,-0.8615250314549103,-1.4002755541522036,-0.046130589895943944,-3.77259336335682,-4.143011503153605,-6.564915643543944,-5.125104714929258,-5.423620930637976,-6.563435663464066,-5.800103158442036,-5.559867102247639,-3.8826778645634072,-4.25029977450575,-4.443424048355848,-3.221047207539015,-3.0756880383127165,-3.5491916227556,-3.7156487768215776,-4.248011519024328,22.335546112481428,21.392873823711533,32.49060212810883,25.56572375536674,-0.09340634558633938,-0.3224933654421383,0.15357219793810753,0.23115926183411753,0.42845576394369406,0.9360177669501643,0.8657449401971589,1.3891413906091814,12.16246539432317,12.464188015671187,31.695207578123267,24.329258512737894,18.022204818717793,20.013469237385337,27.576258735434404,18.426468260775458,8.258773417618109,12.479987560225364,18.81376133750349,14.779931698163736,-141.3196769630328
