,L1,T1,L2,T2,L3,T3,L4,T4
0,0.15403410334889936,2458215.5,0.24214588688814168,2458215.5,0.2721976485512694,2458215.5,0.27426956717377976,2458215.5
1,0.14498859802328573,2458216.0,0.22708247792367633,2458216.0,0.35751075916594227,2458216.0,0.3665921962017006,2458216.0
2,0.10419346816527376,2458216.5,0.18928212230922048,2458216.5,0.478219664595181,2458216.5,0.42029072384307775,2458216.5
3,0.20940879913576355,2458217.5,0.31149745989735245,2458217.5,0.30990389832114645,2458217.5,0.37533258888411863,2458217.5
4,0.24243847575740118,2458218.0,0.2951773063101319,2458218.0,0.4619236758759932,2458218.0,0.5924283275929977,2458218.0
5,0.2943352312084263,2458218.5,0.5922183360906726,2458218.5,0.4673262951353364,2458218.5,0.7433784073080435,2458218.5
6,0.21297423459767234,2458219.5,0.45940759776690393,2458219.5,0.6449650640538597,2458219.5,0.8452939754926959,2458219.5
7,0.30088562476191527,2458220.0,0.5703447800491152,2458220.0,0.7088266690872214,2458220.0,0.8060870403594059,2458220.0
8,0.25189342437514756,2458220.5,0.47625112945778014,2458220.5,0.5309386905620315,2458220.5,0.632453497982879,2458220.5
9,0.13866475665485792,2458221.5,0.2179636923837882,2458221.5,0.3030708448304556,2458221.5,0.3762850411643031,2458221.5
10,0.22279253027340265,2458222.0,0.34201761768888705,2458222.0,0.560873373713938,2458222.0,0.7288137312030056,2458222.0
11,0.14278770176521183,2458222.5,0.29750498186713503,2458222.5,0.47617128189238467,2458222.5,0.6653442174033563,2458222.5
12,0.10956757197505174,2458223.5,0.40806241371804014,2458223.5,0.3198112052159538,2458223.5,0.3682830219315475,2458223.5
13,0.14276600905975897,2458224.0,0.22422310383089927,2458224.0,0.3685676773895556,2458224.0,0.33805139304488535,2458224.0
14,0.2592372894974256,2458224.5,0.19002467451457575,2458224.5,0.4766314852536027,2458224.5,0.530292847221917,2458224.5
15,0.25625799344209244,2458225.5,0.23790785015290886,2458225.5,0.41331335632136273,2458225.5,0.8252989375880806,2458225.5
16,0.2247894153023973,2458226.0,0.4069571804492725,2458226.0,0.39511093434253336,2458226.0,0.5705841937529265,2458226.0
17,0.25020159328750935,2458226.5,0.5499082672775849,2458226.5,0.4876311013678901,2458226.5,0.850289971841335,2458226.5
18,0.33195147727756547,2458227.5,0.6690428483429744,2458227.5,0.9854971394185607,2458227.5,1.3935917316852555,2458227.5
19,0.3186571498348415,2458228.0,0.570405583998007,2458228.0,0.9211531017985839,2458228.0,1.0888719614768465,2458228.0
20,0.2818541370696935,2458228.5,0.7551886548477572,2458228.5,0.7884707544916859,2458228.5,0.8598462494875897,2458228.5
21,0.3934286149602385,2458229.5,0.5572240207592166,2458229.5,0.7847542512456819,2458229.5,1.0056651012644375,2458229.5
22,0.3452157923584974,2458230.0,0.4405842172334402,2458230.0,0.8794820811731803,2458230.0,1.0702840638895292,2458230.0
23,0.2142673116112735,2458230.5,0.5725401106452115,2458230.5,1.1028195028561563,2458230.5,1.6324102888265306,2458230.5
24,0.42835900220972456,2458231.5,0.7818789487224331,2458231.5,1.0102761045363962,2458231.5,0.6961555016567161,2458231.5
25,0.44135577247382335,2458232.0,0.7921588284949604,2458232.0,1.0661876564734074,2458232.0,1.0460024700411774,2458232.0
26,0.5741661864654701,2458232.5,1.3304625739791691,2458232.5,1.6006545775583774,2458232.5,2.4780838822431788,2458232.5
27,0.7292617016342977,2458233.5,0.8947480533614223,2458233.5,1.52260141899462,2458233.5,1.210601503648979,2458233.5
28,0.7971989601793887,2458234.0,1.2822153884955412,2458234.0,1.461012483286941,2458234.0,1.5272474948861998,2458234.0
29,0.7177437268349456,2458234.5,0.6336572506107793,2458234.5,1.5320037391600398,2458234.5,2.1632984703761515,2458234.5
30,0.69682152237269,2458235.5,1.2058304218872866,2458235.5,1.6067049923293657,2458235.5,1.7713778025722091,2458235.5
31,1.026821354151945,2458236.0,1.411365665367001,2458236.0,1.5471295541992027,2458236.0,1.694931739586229,2458236.0
32,0.8255791503892292,2458236.5,1.7620818459297134,2458236.5,2.086350660358916,2458236.5,2.7515348068701946,2458236.5
33,1.2096063722440005,2458237.5,1.6218027194837323,2458237.5,1.9463594274715703,2458237.5,2.8810148036412118,2458237.5
34,1.0521932499114337,2458238.0,1.5332656454319364,2458238.0,2.9616497384121305,2458238.0,2.717923884104722,2458238.0
35,1.366458623787486,2458238.5,2.5617258253421378,2458238.5,3.0525759528828966,2458238.5,2.355874653671929,2458238.5
36,1.1204426773948228,2458239.5,2.2217031795466817,2458239.5,3.0134446093859784,2458239.5,2.473191670259216,2458239.5
37,1.591935373862238,2458240.0,2.4367955083800332,2458240.0,3.187083828459001,2458240.0,3.9744840454583468,2458240.0
38,1.698171318304996,2458240.5,2.397447468862978,2458240.5,2.53564440997621,2458240.5,3.87330355277575,2458240.5
39,1.8002825101917306,2458241.5,3.1597292815171136,2458241.5,4.048888912926743,2458241.5,4.343630621769664,2458241.5
40,1.6733871924629586,2458242.0,2.777565764136233,2458242.0,3.564143701420988,2458242.0,3.9257674818219805,2458242.0
41,2.4654610535011003,2458242.5,2.692185524604647,2458242.5,4.373564102097803,2458242.5,4.395171739734442,2458242.5
42,1.8486729262485626,2458243.5,3.2207852336716267,2458243.5,3.7026817814207855,2458243.5,4.081481196565668,2458243.5
43,2.2633814801336527,2458244.0,3.4622442264472197,2458244.0,3.8798479579877325,2458244.0,4.187908613232365,2458244.0
44,2.5245439860007424,2458244.5,3.47011792668718,2458244.5,4.44093337776446,2458244.5,4.289210334552432,2458244.5
