,pt0,t1G,t1R,t1I,t1Z,t2G,t2R,t2I,t2Z,tdG,tdR,tdI,tdZ,tpG,tpR,tpI,tpZ,lalphaG,lalphaR,lalphaI,lalphaZ,lbeta1G,lbeta1R,lbeta1I,lbeta1Z,lbeta2G,lbeta2R,lbeta2I,lbeta2Z,lbetadNG,lbetadNR,lbetadNI,lbetadNZ,lbetadCG,lbetadCR,lbetadCI,lbetadCZ,MpG,MpR,MpI,MpZ,YbG,YbR,YbI,YbZ,VG,VR,VI,VZ,M1G,M1R,M1I,M1Z,M2G,M2R,M2I,M2Z,MdG,MdR,MdI,MdZ,lp__
0,-28.417248954415527,0.7925091941625068,1.4462915813926769,0.6693210906142321,0.540942481004162,51.95148547854702,66.92291372813783,45.23839409951156,46.99552034075643,43.19278921203736,8.281361985016467,38.72925340896709,36.11217462405509,40.757979504900064,43.620596639380864,11.793922657518252,13.706577913644825,-2.293175182911036,-0.6838646838981401,-1.0946844283992554,-1.8887082732335896,-8.0175047895642,-7.353616226750477,-2.8589224721283526,-4.373720021030072,-3.8023889708786323,-3.818941712420022,-4.606307995145006,-4.408379203236616,-5.023359986121042,-3.8942626270104284,-3.9598679049643706,-4.053893119007995,-7.303811765467925,-4.482051805878068,-4.552382818955253,-4.563777235301916,3.8047525642856614,5.128627306433357,8.422357969106036,9.59657895098621,-0.7642452992697127,0.02436234463534748,0.02846777527990757,0.10693664915362554,0.060421866401846484,0.11405019886576295,0.16944900730018755,0.1851856257216634,3.7539755972845428,4.987371215141658,4.2833624654153395,8.073970218318202,1.1934273179306611,1.1803510385083467,5.3603020481523265,5.41536959641352,0.898092889600418,0.9972206346304646,2.561575783022706,2.8936709742526086,2331.2348037455117
1,-19.755402740690574,0.8940079482622766,1.2136303544515263,0.7673231946856964,0.8389497834213515,52.30158444010641,66.11305403475515,43.618869987216996,64.71290173138244,53.09603549702515,16.528817392161802,28.18652548521089,11.171688832551384,32.86556287009856,36.54320912302947,14.149575967481537,14.012220273303372,-0.9338607249134795,-1.9977453931187423,-1.1331133105659739,-0.7832880478149917,-9.121381513820793,-7.652477358992049,-6.19716599804079,-4.409840931108283,-3.8551325859984726,-3.8234086790083452,-4.2125203253080175,-4.224973048195061,-5.332879540505743,-4.20036663666871,-3.941395864717648,-3.8506868063004265,-7.57052894549079,-4.538117757317233,-4.532523287562483,-4.66412622857052,3.9399921334707906,5.120769774341418,8.546516424744231,9.498481274284469,-0.8943779976843991,-0.01223467748279973,0.046302170043869925,0.0028604906601653315,0.05453355889835621,0.12820889488229015,0.1732193919492819,0.20139681180252025,3.9258637998712085,5.032674926981165,8.303911640896846,8.010745186762916,1.3020143210897497,1.207466165167201,4.479771388266731,3.6864301962014396,1.007479014008806,0.9424765809446825,2.5912984007640327,2.9069115314470633,2333.4976522737948
2,-17.669163166683553,0.8641381125411342,1.4304332828178665,1.0154677180662324,0.700413840189993,50.698026737354226,58.961747535258134,38.19371807920972,51.61306676158112,45.64956955435897,12.041200979023646,27.654974938320333,12.722474140567881,30.50354150016239,34.48590717884135,14.423785393257024,18.469919854907022,-0.6976904191069792,-0.5028738713377654,-1.130040530900528,-1.410196055902447,-7.65959123273432,-8.13810105906076,-3.4275440057639828,-3.2873117968877645,-3.8995902713031754,-3.807497517301169,-4.3449331210302145,-4.248870906948789,-5.177041999147128,-3.9140283138565155,-3.8544319439502805,-3.879263977729949,-7.56400003011472,-4.58801896808427,-4.516721446554452,-4.554518593619608,4.076136166560062,5.164532733880324,7.884414437860964,8.366710957918835,-1.0084342190465747,-0.02656844808817997,0.076633572452541,0.08849279008027437,0.0620143670322956,0.11143569196884415,0.16159526441381056,0.1739609759720894,4.017931020739879,5.112753685845488,4.936205718098598,4.196845044771576,1.460098638487722,1.3946552076259477,4.803883680246952,4.003657277927329,1.128429497429066,1.0966999713962697,2.6738957706482087,3.0780159812746284,2335.3497383829344
3,-24.8981446722391,0.4220718657321726,0.923364747055234,1.0933452388201172,0.8741592823295029,48.66618467669381,60.825131489034135,41.763096511190845,59.38579723389516,39.31109768483096,10.546662345195195,37.593413586881375,4.551250079286732,38.01653055969759,40.85272166017938,10.834199159806385,16.466318480030818,-1.4091075109821756,-0.9798065121295941,-1.9877436989265609,-0.4495519481049325,-9.934514620136683,-8.299517912701878,-1.6555708555388975,-3.8368559905356716,-3.8781208847568758,-3.8308300653509084,-4.541251825894555,-4.23746319006274,-5.022626653957718,-3.7639109098928416,-3.9335454018199383,-3.3576940223786247,-7.494852301601544,-4.564313001104494,-4.5694999882789125,-4.487097502932502,4.053137986670575,5.187093174247837,8.426174842493214,9.39815378416907,-0.9983962721724269,-0.021493736561073486,0.03614698631616884,0.12789745228727725,0.05761228701326275,0.12911729612759246,0.15358868734114736,0.1903682296629229,4.045675923836343,5.134672040487252,1.0641698866255205,6.5895054396902095,1.4808322194805477,1.3864948495752838,5.398634566908821,3.985782563178099,1.1429974021975287,1.0856421263679457,2.5864516153303576,3.4017154556140294,2334.3747014649603
4,-11.811186018008463,1.1356140058601882,1.9326174951248833,0.9448792084984293,1.3873484946815398,48.84118125017539,62.69306175308275,32.08265432739776,50.39079849675228,38.78807794757382,28.312341809280298,31.223814649787933,3.78682444376159,25.242119957692104,28.81636412546073,15.200582335237222,13.316329723073302,-1.7572094407673962,-1.805661375318514,-1.2797066025001589,-0.6413534793457538,-8.11298902429577,-7.290037310582087,-2.4003205301081216,-4.025032765630631,-3.9080285874375873,-3.81237650827297,-4.329500633046153,-4.260682043342175,-5.035558001454393,-4.372506678376063,-3.8850274505374562,-3.123456702766398,-7.671833881385163,-4.615357774719246,-4.537366121898995,-4.544090422797505,4.105379985163825,5.17567871991572,7.344405494923848,8.296170077891045,-1.060744257406269,-0.03415755664294449,0.07949905815601252,0.09753933563747329,0.058453091495695886,0.123657411245356,0.15861306548793896,0.18736226460447447,4.074447732269502,5.074911082740813,1.8504245091738587,6.539930378384352,1.5396652689850694,1.2952831049675704,4.812794928557286,4.074080498383183,1.196430923898259,0.9061411151794482,2.533784402537224,3.448732072076425,2334.867483155045
5,-29.203210900975325,0.7986261807549913,0.8477741892001557,0.7644069704987656,1.0243983372086034,47.85855283622396,68.13075850539248,42.48494133283663,56.005061763290826,41.536480420026116,4.461416145354711,36.38443490060028,6.774923415185992,41.383698285918136,45.23153486499981,14.472156467092294,22.525506012992384,-1.016925361168051,-1.2338525656684443,-1.5460730755490353,-0.593743884765363,-9.607581764517272,-7.958088935285764,-1.5292146315573505,-4.024000484729676,-3.9548163483181393,-3.81888443340399,-4.5778635732509825,-4.282399159501613,-5.149499079801657,-3.6609869121763703,-3.9262270742851912,-3.468942632796022,-7.6434807330038605,-4.613786159676579,-4.4923291352606824,-4.51004058029942,4.225054522863844,5.120447495558776,8.230618544686203,8.956993757711553,-1.1906069893469495,0.004825551759943794,0.10619442843646976,0.11313358389213717,0.05919582118539133,0.128394736249434,0.15840901483278128,0.19042527295968031,4.213318039846921,5.040064580103976,0.35760044380878553,5.987354104219391,1.688697645134101,1.1475354895198733,5.318815940969441,4.133122805111889,1.3270388765143326,1.02319121706271,2.595619177396151,3.346766719710373,2341.849594168869
6,-14.332899866383686,1.0305728078619425,1.141996653183959,1.4567202612794654,1.037431855402533,51.001791386811576,59.547426696498185,35.0607831795356,47.451370360084454,41.502398785131255,10.849004517017532,22.480881309094457,6.476129197312745,27.48465040484412,30.907600800875297,16.85503216695994,18.063172802492133,-1.0016828667317557,-2.1877020223983545,-1.3753644556721292,-0.9265062166770497,-8.04335068726943,-7.066944913997444,-0.3511453080094458,-0.6912944019508961,-3.8573911987590086,-3.8269532480265407,-4.2972018662610605,-4.310918704028685,-5.033856509553297,-3.7578007049121527,-3.7590216839323305,-3.390455937498607,-7.378591951618807,-4.386752676204363,-4.4996143011124285,-4.549975313871856,3.921883479691508,5.104296519113424,7.386090399572604,7.923869738887292,-0.8827209041427411,0.03248364916807951,0.10100666079128265,0.07929476808494228,0.057586711382358005,0.12622590671132436,0.1578188640529692,0.19665992893934567,3.8874099049457036,4.971509756498634,5.199587293692424e-05,0.0009317409311543584,1.33543818948888,1.3956862004910244,4.583859119109179,4.191357649995688,1.0191079602451552,1.083530427970253,2.714451487531282,3.369695774036357,2335.2140506200085
7,-15.609180055471706,1.6138965236867742,1.1779325431962864,1.0561038694720213,1.1257245560597267,49.96991496536502,58.780940270354535,42.50142666988881,53.77321531171606,46.7162813638836,4.325155823135585,29.974318934439772,7.7189817515160595,28.42154901943188,32.611779533576346,11.225029013188708,12.922944327159872,-0.7644505417283947,-1.1156643863408304,-1.1214152620981575,-1.3857988599489357,-8.520499621532833,-9.24774787576986,-0.39167616017660145,-1.7787886421529064,-3.8577723834065,-3.8132804243277363,-4.355143356525363,-4.23731659176387,-5.1871952302665445,-3.5682161539796184,-3.9079392111850138,-3.6301273783025616,-7.45604149944788,-4.3326694277135145,-4.628585985400647,-4.502145308688643,3.99901280325482,5.050870225640947,8.070550572981789,8.824307644365458,-0.947932490509288,0.050016967626175024,-0.018070394261930946,0.12785492617474828,0.05759736383680061,0.1200391787911652,0.1729790805543158,0.18554308027681507,3.976420271935579,5.0350281216738715,0.004090724290661831,0.9955770539966439,1.3922673614627177,1.379793048256187,4.676163187251575,4.057982241409226,1.07239992701994,1.2213265944795269,2.561360028224269,3.3069753877375647,2333.0359576343963
8,-22.92902755547855,0.8092941706887972,1.3555734818334138,0.6774959922693236,0.7165396588545001,51.4573092468059,68.2095425882327,50.32603682509344,48.206688171823416,38.86405887073228,3.4405861686956025,26.867411397439533,23.555432083575166,35.446533269394,39.27455204447076,11.359303499862794,24.548379657189674,-0.8182111216276908,-0.6905045168561765,-1.0037297400791978,-1.0967498817486963,-8.473605414453916,-7.3942602691901005,-3.889694242247348,-3.9710472225166846,-3.856882793214273,-3.8183379457783793,-4.247132965407972,-4.213098990339752,-4.9704428597236605,-3.7224113161184347,-3.860275849692644,-4.108163118511032,-7.399163074381495,-4.5895211274428345,-4.569704175835501,-4.548689423061498,3.9264546045317545,5.117248124196506,9.30931632876581,8.346158606664543,-0.8769616285958072,-0.010152784090277464,0.04329052910746348,0.10162674424875989,0.05962335979944744,0.11674301117743739,0.1648085219045794,0.19746583132318044,3.8974860210563897,4.995172531595941,7.379454664480892,5.253918193809851,1.3234602011684182,1.1439001101400217,4.531677609290249,4.089086655013588,1.010585869707492,1.0526021424280072,2.573342698704093,2.776299211748687,2337.498433876686
9,-33.11021699097643,1.2691980077089522,1.645400274925171,1.0276840652897201,1.3525288322271463,48.50544281868407,64.19609685120474,51.30668496391571,51.31369731784409,37.74499261907988,7.930985746295563,37.920370073633634,35.65811337100872,44.77328884082621,47.91101590971306,11.155651358912682,13.778798949140292,-0.3201074315374792,-0.9655464403825795,-1.2541567934287843,-0.5702895538864545,-8.622422328549273,-8.307336134117868,-4.539883587455305,-3.9442610606496333,-3.8914079983477925,-3.8015971624966287,-4.391453516208871,-4.40658803782706,-4.9338367581412035,-3.7641576882901466,-3.973798567098852,-4.073705514245756,-7.525406455973145,-4.396318540415741,-4.565631642347272,-4.579128892403963,4.0348256317928195,5.066709879096805,9.720537926106354,9.955256397858328,-1.0038425536612392,0.05468630599953274,0.0171961391092849,0.061746926636105516,0.05630028683371588,0.133817985681167,0.15208342220872412,0.19802205091101827,4.002434640124376,5.007175600536564,8.629256038090979,7.623740069558903,1.4987746405966749,1.207880669922529,5.149629475212074,5.32408988356561,1.1421678513428166,1.0049828491093917,2.52426675601643,2.902425061275217,2333.136494520331
